Percentile,Probability 
1%,2.30%
2%,3.10%
3%,3.60%
4%,4.00%
5%,4.40%
6%,4.70%
7%,5.00%
8%,5.30%
9%,5.50%
10%,5.80%
11%,6.00%
12%,6.30%
13%,6.60%
14%,6.70%
15%,6.90%
16%,7.20%
17%,7.40%
18%,7.60%
19%,8.00%
20%,8.20%
21%,8.50%
22%,8.80%
23%,9.10%
24%,9.30%
25%,9.60%
26%,9.90%
27%,10.20%
28%,10.40%
29%,10.80%
30%,11.10%
31%,11.30%
32%,11.60%
33%,12.00%
34%,12.20%
35%,12.50%
36%,12.70%
37%,13.20%
38%,13.40%
39%,13.70%
40%,13.90%
41%,14.50%
42%,14.80%
43%,15.20%
44%,15.50%
45%,16.10%
46%,16.40%
47%,16.60%
48%,16.80%
49%,17.30%
50%,17.90%
51%,18.30%
52%,18.70%
53%,19.30%
54%,19.80%
55%,20.10%
56%,20.60%
57%,21.20%
58%,21.70%
59%,21.90%
60%,22.50%
61%,23.20%
62%,23.70%
63%,24.10%
64%,24.80%
65%,25.40%
66%,25.90%
67%,26.20%
68%,26.80%
69%,27.50%
70%,28.10%
71%,28.60%
72%,29.50%
73%,30.40%
74%,30.90%
75%,31.70%
76%,32.40%
77%,33.00%
78%,33.80%
79%,34.90%
80%,35.70%
81%,37.10%
82%,38.20%
83%,39.40%
84%,40.60%
85%,41.80%
86%,43.20%
87%,44.50%
88%,46.00%
89%,47.50%
90%,49.10%
91%,50.90%
92%,52.80%
93%,54.70%
94%,56.60%
95%,59.00%
96%,61.70%
97%,64.90%
98%,69.00%
99%,73.90%
100%,80.40%
